vtuneCategory,threadcount,inputinfo,metric,value
hpc,18,20,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
hpc,18,20,Computer Name,quartz2391
hpc,18,20,Result Size,3316713
hpc,18,20,Collection start time,22:53:44 21/04/2021 UTC
hpc,18,20,Collection stop time,22:53:44 21/04/2021 UTC
hpc,18,20,Collector Type,Driverless Perf per-process sampling
hpc,18,20,Name,Intel(R) Xeon(R) Processor code named Broadwell
hpc,18,20,Frequency,2095149092
hpc,18,20,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
vtuneCategory,threadcount,inputinfo,metric,value
hpc,9,20,Metric Name,Metric Value
hpc,9,20,Elapsed Time,0.024805
hpc,9,20,SP GFLOPS,0.0
hpc,9,20,DP GFLOPS,0.0
hpc,9,20,x87 GFLOPS,0.0
hpc,9,20,CPI Rate,3.000000
hpc,9,20,Average CPU Frequency,3142720332.000000
hpc,9,20,Total Thread Count,1
hpc,9,20,Effective Physical Core Utilization,0.6% (0.202 out of 36)
hpc,9,20,Effective Logical Core Utilization,0.6% (0.404 out of 72)
hpc,9,20,Memory Bound,100.0
hpc,9,20,Cache Bound,100.0
hpc,9,20,DRAM Bound,0.0
hpc,9,20,NUMA: % of Remote Accesses,0.0
hpc,9,20,Vectorization,0.0
hpc,9,20,SP FLOPs,0.0
hpc,9,20,Packed,0.0
hpc,9,20,128-bit,0.0
hpc,9,20,256-bit,0.0
hpc,9,20,Scalar,0.0
hpc,9,20,DP FLOPs,0.0
hpc,9,20,Packed,0.0
hpc,9,20,128-bit,0.0
hpc,9,20,256-bit,0.0
hpc,9,20,Scalar,0.0
